id,name,age,badge,past_purchase_amt
5864,David Fosmire,38,silver,9.61
5865,Carolyn Long,39,bronze,11.21
5866,Wesley Blakely,42,silver,48.09
5867,William Turner,40,bronze,28.61
5868,Patrick Thomas,39,bronze,14.190000000000001
5869,Heather Louis,29,bronze,209.09
5870,Randy Kroesing,27,silver,13.16
5871,Maryann Woodward,22,bronze,35.35
5872,Mimi Goins,41,bronze,88.22
5873,Maria Vawter,26,bronze,61.62
5874,Regina Flores,36,silver,33.44
5875,Sheryl Brown,36,bronze,5.47
5876,Lisa Cooper,34,bronze,12.8
5877,Beth Hayman,41,silver,74.83
5878,Fabian Bonato,20,bronze,463.96
5879,Omar Hamm,33,bronze,78.09
5880,Elwanda Bradley,43,silver,43.65
5881,Deborah Goodman,37,bronze,18.47
5882,Juan Flynn,25,silver,230.14
5883,Ben Mondier,41,gold,161.53
5884,Juan Gerwitz,40,bronze,27.18
5885,Stephanie Adkerson,38,bronze,23.06
5886,Laura Tardiff,27,bronze,11.51
5887,Lora Lobo,24,bronze,31.85
5888,Judith Dess,38,bronze,10.04
5889,Oscar Clothier,33,silver,16.73
5890,Deanne Lucy,42,bronze,77.68
5891,Herbert Toscano,41,bronze,8.5
5892,Adam Infield,33,silver,26.51
5893,Eugene Smith,30,bronze,72.68
5894,Kate Ritchie,40,silver,31.69
5895,Timothy Link,23,bronze,261.19
5896,Milton Wilcox,36,bronze,36.9
5897,Edward Martinez,22,gold,18.3
5898,Gregory Duggan,41,silver,35.1
5899,Kim Harp,39,silver,11.309999999999999
5900,Luis Dunn,40,bronze,7.13
5901,Shirley Lafollette,34,bronze,24.869999999999997
5902,Walter Newcomb,33,silver,193.61
5903,Manuel Ragan,28,silver,20.42
5904,Fred Obrien,39,bronze,6.19
5905,Timothy Dunneback,41,bronze,15.33
5906,Leslie Rhodes,43,gold,81.69
5907,David Nelson,29,gold,23.939999999999998
5908,Priscilla Strait,38,bronze,10.43
5909,Robert Jones,29,bronze,120.32
5910,John Swift,46,silver,37.24
5911,Bessie Daniels,45,silver,20.880000000000003
5912,Mary Brown,34,silver,42.41
5913,James Padgett,23,silver,17.78
5914,Betty Tracy,34,bronze,14.629999999999999
5915,Amy Powers,28,bronze,21.689999999999998
5916,Henry Pippin,45,silver,30.74
5917,Keith Dubois,34,bronze,22.86
5918,Everett Kimble,34,silver,41.98
5919,Carolyn Hester,44,bronze,39.17
5920,Linda Sutton,33,silver,43.24
5921,Arthur Parker,39,gold,27.41
5922,Helene Barretto,39,silver,32.94
5923,Ruth Reynolds,40,silver,27.73
5924,Douglas Mclean,41,silver,25.88
5925,Jennifer Fortner,35,bronze,26.54
5926,Carolyn Wright,30,silver,64.47999999999999
5927,Jess Gardner,27,silver,15.75
5928,Josephine Whitehead,29,bronze,7.09
5929,Karen Teran,32,bronze,18.28
5930,Steven Pendleton,37,gold,146.39
5931,Douglas Vesely,40,bronze,7.26
5932,Carol Montgomery,40,gold,31.85
5933,Mark Allen,39,bronze,5971.99
5934,Larry Horner,45,bronze,56.62
5935,George Monarrez,35,bronze,77.33
5936,Andrew Johnson,36,bronze,67.32
5937,Vivian Nguyen,36,silver,1637.21
5938,Tommy Torrez,25,gold,14.49
5939,Glen Flanagan,40,bronze,58.13
5940,Filiberto Durio,45,silver,21.73
5941,Adrienne Moses,38,bronze,21.810000000000002
5942,Suzanne Dobies,40,gold,58.34
5943,Claribel Smith,36,bronze,8.73
5944,Norma Korpal,34,bronze,17.4
5945,Johnny Junke,42,bronze,1939.84
5946,Jeffery Lorenz,39,bronze,7.35
5947,Dean Cantrell,28,silver,225.48
5948,Tom Davis,38,gold,1215.21
5949,Richard Francis,22,bronze,90.98
5950,Margaret Matthews,25,gold,7.33
5951,Lindsey Clemmer,38,bronze,21.83
5952,Margaret Mutz,39,bronze,29.65
5953,Archie Bledsoe,32,silver,544.89
5954,Diana Gordon,41,silver,82.38
5955,Dina Gross,39,bronze,10.37
5956,Gail King,33,gold,42.16
5957,James Meneses,32,silver,42.85
5958,Alexandria Fritz,38,silver,49.25
5959,Andrea Snyder,37,bronze,60.33
5960,Richard Higginbotham,32,bronze,16.64
5961,Annemarie Vanleuven,41,bronze,578.44
5962,Tony Ostrow,44,silver,49.93
5963,Cheryl Gaither,40,silver,29.22
5964,Evelyn Peoples,37,bronze,21.03
5965,Verdie Richards,42,bronze,21.240000000000002
5966,Lisa Boldt,41,bronze,21.939999999999998
5967,Edwin Wolfertz,41,bronze,33.91
5968,Gregg Leger,44,silver,76.28
5969,William Jiles,36,gold,34.82
5970,James Runyan,39,bronze,17.64
5971,Wesley Hall,40,gold,62.02
5972,Robert Castor,37,silver,100.3
5973,Otis Green,37,silver,20.47
5974,David Brinkley,44,bronze,13.91
5975,Nancy Martin,29,gold,64.28
5976,Kathryn Teel,28,bronze,9.89
5977,Shawnta Fisher,40,bronze,23.79
5978,Anthony Martin,42,gold,45.79
5979,Mammie Beckham,32,gold,9.15
5980,Wilma Donahue,25,bronze,3831.16
5981,Linda Davidson,41,bronze,14.74
5982,Ronald Taylor,46,silver,10.89
5983,Geraldine Grace,37,silver,69.69
5984,Juan Smith,45,gold,14.56
5985,Jerold Martinez,33,silver,16.9
5986,Adam Senecal,24,bronze,33.92
5987,Rufus Workman,40,silver,118.71
5988,Timothy Medina,29,bronze,13.780000000000001
5989,Ray Lococo,38,bronze,8.91
5990,Anthony Gates,26,gold,6.29
5991,Joe Hughes,34,gold,160.95
5992,Chet Orio,27,bronze,7.7
5993,Renee Mann,36,bronze,12.21
5994,Norma Malan,44,gold,11.65
5995,Heather Rose,39,silver,146.56
5996,Melissa Mitchell,31,bronze,9.18
5997,Sophie Lighty,40,silver,26.88
5998,Betty Kennedy,23,bronze,145.6
5999,Rebecca Thomas,33,gold,78.4
6000,Juliette Traverso,38,bronze,6.73
6001,Hubert Cullen,31,bronze,24.07
6002,Glenda Smith,42,bronze,55.26
6003,Edward Reyes,29,bronze,8.11
6004,Douglas Coppock,37,gold,7.9399999999999995
6005,Frank Calderon,40,gold,61.63
6006,Dustin Walters,31,bronze,12.47
6007,Barbara Pettus,26,bronze,17.97
6008,Patricia Ellison,35,gold,20.73
6009,Rodger Prichard,38,bronze,8.61
6010,Harriet Fernandez,23,bronze,8.1
6011,Linnie Briggs,27,silver,35.47
6012,Marcy Lindsey,38,bronze,6.03
6013,Irvin Chitty,36,bronze,467.63
6014,Maria Hruska,42,silver,18.18
6015,John Clark,28,gold,10.79
6016,Christopher Hill,34,bronze,7.08
6017,Nettie Fouch,26,silver,48.06
6018,Debra Zenker,35,bronze,6.64
6019,Eve Steere,33,bronze,19.91
6020,Logan Larson,46,silver,39.02
6021,Rita Disher,33,bronze,557.07
6022,Jason Metzger,24,bronze,11.39
6023,Todd Williams,34,bronze,18.810000000000002
6024,Leonard Wanty,36,bronze,46.74
6025,Lillian Campbell,43,bronze,13.66
6026,Dorothy Charles,41,bronze,20.68
6027,Delores Rigney,38,gold,80.11
6028,Nicholas Fitch,32,bronze,27.06
6029,Helen Hurst,38,gold,81.56
6030,Jeremy Allen,24,gold,2600.87
6031,Jessica Giles,29,gold,35.84
6032,Lynn Azen,38,bronze,201.06
6033,Jane Raneses,39,silver,18.75
6034,Harvey Conrad,21,gold,21.490000000000002
6035,Francis Burke,33,bronze,6.04
6036,Lonnie Robinett,40,bronze,11.059999999999999
6037,Andrew Mckinney,45,gold,9.53
6038,Chris Ellington,28,gold,12.9
6039,Elmer Showalter,35,silver,7.2
6040,Leslie Hendrix,31,silver,15.08
6041,Katherine Goldtrap,33,gold,24.75
6042,Clarence Hjort,24,bronze,41.32
6043,Nicole Tucker,27,bronze,10.29
6044,Helen Stanley,30,bronze,16.28
6045,Susan Bryant,34,bronze,18.119999999999997
6046,Laura Weinstein,40,bronze,10.05
6047,Charles Sullivan,37,gold,127.03
6048,Jo Treat,34,silver,11.36
6049,Jewell Brennan,35,bronze,8.26
6050,Maria Hayne,35,bronze,13.559999999999999
6051,Isela Whitehead,24,bronze,40.37
6052,Roosevelt Thrill,30,silver,41.2
6053,Lisa Rivera,41,bronze,34.44
6054,Harriet Jackson,35,silver,149.82
6055,Wendy Gilbertson,31,gold,16.29
6056,Thomas Brunet,34,bronze,7.85
6057,Susie Howard,38,bronze,190.0
6058,Pedro Arrey,46,silver,48.7
6059,Richard Whitfield,42,silver,16.07
6060,Kerri Sticht,30,bronze,5.44
6061,Darrell Sivertsen,42,silver,45.56
6062,Bruce Coyt,35,bronze,21.49
6063,Michael Poirier,41,silver,9.28
6064,Eric Camp,44,silver,10.96
6065,Evelyn Wedge,39,bronze,9.19
6066,Connie Blackburn,36,bronze,13.01
6067,Jennie Knudsen,39,gold,7.49
6068,Brian Loomis,40,bronze,87.45
6069,Emily Haase,41,bronze,6.07
6070,Luis Rivera,41,bronze,21.04
6071,Margaret Becker,35,silver,55.1
6072,Ralph Carbo,41,bronze,5.51
6073,Leslie Holden,30,bronze,11.99
6074,Melissa Filthaut,31,gold,15.43
6075,Mary Permenter,34,bronze,9.46
6076,Gary Billingslea,34,gold,46.98
6077,Cheri Stuart,25,silver,30.68
6078,Jennifer Woodard,36,silver,13.11
6079,Carlo Radosevich,19,bronze,66.12
6080,George Worker,26,silver,18.27
6081,David Fackler,41,bronze,6.66
6082,Kent Ebrahim,32,gold,108.56
6083,Myrna Hardin,34,bronze,148.85
6084,Dennis Fancher,39,silver,83.16
6085,Frances Evers,41,gold,57.67
6086,Timothy Parker,36,gold,127.68
6087,Tommy Osborne,26,silver,17.67
6088,Clayton King,35,bronze,106.06
6089,Celeste Jording,24,bronze,22.4
6090,Exie Vetter,44,silver,16.9
6091,Teresa Rady,33,bronze,21.880000000000003
6092,Charles Best,35,bronze,348.24
6093,Adam Drake,30,bronze,131.29000000000002
6094,Allyson Phelps,43,silver,100.58
6095,Rachel Smith,44,bronze,15.05
6096,Maria Pass,42,silver,37.29
6097,Denise Banks,28,bronze,28.25
6098,Wilbert Golden,34,bronze,30.51
6099,James Minion,34,silver,105.21
6100,Melinda Montoya,26,bronze,8.6
6101,Marian Morris,26,silver,26.33
6102,George Garcia,38,silver,71.22
6103,Ricardo Harbaugh,40,gold,53.32
6104,Katherine Culpepper,35,silver,24.12
6105,Frank Allery,40,bronze,21.740000000000002
6106,Vickie Trueblood,30,bronze,9.28
6107,Kelly Costello,26,bronze,25.25
6108,Ashley Loffler,39,bronze,13.190000000000001
6109,Julian Haughney,36,bronze,10.35
6110,Jerome Rooney,35,silver,37.3
6111,Jorge Mccaffrey,40,bronze,16.189999999999998
6112,Cole Sanabria,27,gold,14.73
6113,Doyle Winton,43,silver,16.65
6114,Rosemarie Lachley,38,silver,10.21
6115,Charles Centeno,25,bronze,8.63
6116,Miguel Drake,35,silver,35.85
6117,Nicole Oneill,25,silver,35.25
6118,Jeffery Sewell,45,silver,67.18
6119,Erma Leach,19,bronze,112.25
6120,Ronald Stec,37,bronze,16.08
6121,Elaine Bishop,30,silver,20.380000000000003
6122,Ellen Seiersen,41,gold,28.51
6123,Renato Pratt,31,bronze,6.03
6124,Frank Kerr,41,silver,30.9
6125,Delbert Porras,40,gold,6.08
6126,Ola Bathke,29,silver,14.06
6127,Cheryl Moseley,38,bronze,1313.01
6128,Alfred Jones,31,gold,7.79
6129,Nicole Nicoletti,32,gold,21.630000000000003
6130,Philip Nordhoff,41,bronze,12.620000000000001
6131,Jacquelyn Swirsky,40,bronze,446.67
6132,David Phillips,39,bronze,6.35
6133,Steven Henry,31,bronze,18.02
6134,Charles Nicely,41,bronze,132.88
6135,Glenn Treaster,30,bronze,8.29
6136,Wilma Harvey,25,bronze,8.09
6137,Marsha Carter,41,silver,36.18
6138,John Ebbs,40,silver,18.73
6139,Mary Mittler,38,bronze,15.3
6140,Louis Coyle,36,gold,15.9
6141,Edgar Close,26,bronze,430.42
6142,Derrick Warren,38,bronze,72.58
6143,Charles Mcbride,42,gold,115.56
6144,Ruth Higgins,40,silver,7.65
6145,Vincent Sprague,32,bronze,6.38
6146,Linda White,44,bronze,48.16
6147,Matthew Jones,30,silver,7.12
6148,Charles Zoltek,27,bronze,7.07
6149,Nicole Davidson,37,bronze,9.23
6150,Robert Wohlert,26,gold,27.37
6151,Roxana Kepler,26,silver,16.48
6152,Mable Gaskin,33,bronze,20.72
6153,Thomas Bozych,44,bronze,14.45
6154,Nancy Jacome,29,bronze,12.58
6155,Frances Wagner,35,bronze,78.15
6156,Roosevelt Lovell,32,bronze,17.07
6157,Minnie Guzman,27,bronze,6.11
6158,Joan Freedman,25,bronze,14.74
6159,Christopher Torres,40,bronze,21.119999999999997
6160,Donna Stammel,46,silver,14.55
6161,Sam Quintanilla,24,silver,74.64
6162,Melissa Yale,28,bronze,8.57
6163,David Mora,37,bronze,390.25
6164,George Herman,37,silver,8.21
6165,Diana Flores,37,silver,51.84
6166,Kathleen John,33,bronze,367.71
6167,Cynthia Cash,45,silver,115.11
6168,Clarence Canning,44,gold,32.03
6169,Jeremy Hall,33,bronze,23.36
6170,Eric Perez,25,gold,33.19
6171,Dortha Lehtonen,36,bronze,9.02
6172,Carolyn Martin,39,silver,16.58
6173,Christopher Underland,27,silver,53.37
6174,Katherine Maddox,39,bronze,14.83
6175,Linda Harris,41,bronze,16.0
6176,Abby Alexandra,41,silver,78.92
6177,James Davis,40,silver,309.63
6178,Ruby Piper,38,gold,287.25
6179,Anthony Mccollough,34,silver,513.49
6180,Ruth Ferrer,29,bronze,10.41
6181,Young Sharp,41,silver,90.9
6182,Richard Pearson,43,bronze,55.33
6183,Marguerite Gross,21,silver,7.79
6184,Olga Burns,41,bronze,66.4
6185,Jessie Hathcock,34,gold,6.78
6186,Flora Baker,38,silver,385.07
6187,Betty Westrom,31,bronze,89.01
6188,Amy Roher,25,bronze,10.46
6189,Ella Haines,40,bronze,14.57
6190,Kevin Mccalmont,46,gold,16.8
6191,Marilyn Hower,41,bronze,7.6
6192,Frank Muniz,23,gold,36.7
6193,Joan Raines,38,bronze,42.73
6194,Eula Lewis,26,silver,6.95
6195,Nellie Stark,38,silver,25.13
6196,Rosanne Mccurry,34,gold,50.94
6197,Marla Smith,32,bronze,64.36
6198,Brian Seibel,41,silver,11.780000000000001
6199,Sarah Faurrieta,34,bronze,11.469999999999999
6200,Virginia Hooper,36,bronze,12.58
6201,Sylvia Garcia,45,bronze,53.17
6202,Julie Dixie,38,silver,30.38
6203,Ralph Eure,18,bronze,109.66
6204,John Cohen,42,bronze,152.26
6205,Casey Coil,31,bronze,7.6
6206,Carolann Sager,37,gold,15.36
6207,Evelyn Pannell,37,bronze,9.58
6208,Crystal Jurczyk,41,silver,22.060000000000002
6209,Glenda Johnson,38,bronze,12.04
6210,John Robison,41,gold,34.260000000000005
6211,Mark Pentek,45,silver,17.45
6212,Anna Crist,33,bronze,8.24
6213,Alisa Pizer,26,gold,36.620000000000005
6214,Tracy Seggerman,29,bronze,10.75
6215,David Allen,40,bronze,10.28
6216,Muriel Allen,27,bronze,6.39
6217,Blanca Bassett,40,bronze,6.55
6218,Cheryl Northrup,40,silver,154.64
6219,Miguel Driscoll,43,gold,78.68
6220,Claudia Totman,33,bronze,1718.7
6221,Gregory Knight,42,silver,72.61
6222,Dorothy Stoltzfus,37,bronze,324.12
6223,Michelle Morales,28,bronze,193.83
6224,Wendy Mcdonald,41,silver,28.58
6225,Tammy Cain,44,bronze,8.95
6226,Kimberly Gossett,35,bronze,6.92
6227,Gonzalo Daniel,36,bronze,18.16
6228,Susan King,35,bronze,168.14
6229,Suzanne Oaks,35,bronze,12.89
6230,Kenneth Ludkowski,35,bronze,81.32
6231,William Frahm,35,bronze,6.16
6232,Patricia Rolfes,39,silver,63.01
6233,Ruby Osborne,35,bronze,17.77
6234,Janice Bennett,36,gold,32.3
6235,Jeanne Lee,30,silver,31.61
6236,Susan Kilcrease,41,bronze,12.64
6237,Ella Sanchez,44,bronze,18.28
6238,Jeremy Hazlett,37,silver,13.5
6239,James Bombich,23,silver,7.68
6240,Mike Basha,27,bronze,8.13
6241,Mitzie Mahone,38,bronze,8.67
6242,Clyde Molinar,33,gold,16.14
6243,Georgia Bernabe,32,silver,203.33
6244,Frances Harris,34,bronze,8.03
6245,Chris Hazlett,36,silver,18.259999999999998
6246,Carolyn Adams,31,bronze,7.35
6247,Carrie Ellis,35,silver,20.759999999999998
6248,Ellen Sevilla,46,bronze,16.43
6249,Marvin King,37,gold,38.28
6250,Glen Sether,38,bronze,85.64
6251,Harry Davis,29,bronze,6.9399999999999995
6252,Virginia Williams,39,bronze,10.01
6253,Jeffrey Moseley,24,bronze,5312.78
6254,Carolyne Steffen,32,silver,10.07
6255,Lucille Morales,45,bronze,31.03
6256,Kayla Kingsley,32,silver,854.82
6257,Roy Harris,39,bronze,30.29
6258,Kevin Martin,28,bronze,9.33
6259,David Derryberry,29,bronze,7.32
6260,Evelyn Damon,40,silver,46.31
6261,Agustin Dement,40,bronze,11.32
6262,Donna Steadman,45,bronze,41.19
6263,Lloyd Funderburk,38,silver,23.34
6264,Judith Walton,38,bronze,77.6
6265,Shellie Austin,40,bronze,15.469999999999999
6266,Willie Orbeck,39,silver,11.41
6267,Clare Russell,35,bronze,332.62
6268,Elsie Springle,41,silver,8.03
6269,Kenneth Baker,29,silver,18.060000000000002
6270,Chris Ruggles,39,bronze,9.02
6271,John Kim,31,silver,53.32
6272,Arthur Smith,42,bronze,11.370000000000001
6273,Natalie Moore,35,bronze,6.12
6274,Albert Yacko,34,silver,56.24
6275,Daniel Buchanan,38,bronze,66.52000000000001
6276,Marlon Hughs,38,bronze,22.8
6277,Asia Short,42,silver,11.28
6278,Cindy Esquivel,35,gold,284.83
6279,Mike Stanley,38,bronze,12.620000000000001
6280,John Thomas,34,bronze,89.41
6281,Robert Kuehn,27,gold,12.76
6282,Winifred Zimmerman,36,gold,9.23
6283,David Scheller,30,bronze,23.93
6284,Jennifer Drumm,39,silver,20.15
6285,Carolina Drake,26,gold,8.69
6286,Arthur Alicea,40,bronze,116.82
6287,Anna Hansing,40,silver,13.219999999999999
6288,Elizabeth Taylor,29,silver,169.79
6289,Michelle Dragon,24,gold,80.32
6290,Ashley Cost,33,bronze,18.95
6291,Rudy Vargas,39,bronze,193.47
6292,David Hair,26,bronze,7.18
6293,Betty Steel,27,bronze,22.77
6294,Jennifer Dunne,38,bronze,9.94
6295,Eric Williams,37,bronze,57.46
6296,Kenneth Stanford,28,bronze,12.59
6297,Donna Bush,36,silver,26.18
6298,Ronald Martel,31,silver,57.84
6299,Charlene Kish,30,bronze,149.67
6300,Ricky Timchula,30,silver,17.56
6301,Lazaro Pierce,36,silver,23.35
6302,Ramon Robinson,38,gold,12.26
6303,Timothy Elam,37,bronze,91.58
6304,Raul Hiett,30,bronze,8.07
6305,Mary Shank,40,gold,968.66
6306,Stella Seibel,40,silver,10.72
6307,Glenn Hill,45,bronze,66.59
6308,Edna Morgan,22,bronze,15.809999999999999
6309,Timothy Wright,32,bronze,101.16
6310,Rodrigo Zellmer,27,bronze,50.12
6311,Tony Tolley,46,silver,10.64
6312,George Miller,36,bronze,56.43
6313,Debra Robinson,25,bronze,5.27
6314,Sanjuana Lewis,41,gold,19.57
6315,George Alexander,25,bronze,11.98
6316,Charles Ebinger,36,bronze,15.75
6317,Gwendolyn Francis,34,bronze,18.21
6318,Ike Williams,34,bronze,701.76
6319,Wayne Bilotto,39,bronze,274.05
6320,Barbara Alvarez,36,silver,101.64
6321,Catharine Reynolds,32,silver,149.44
6322,Benjamin Dillard,36,silver,13.86
6323,Vera Keller,37,silver,19.759999999999998
6324,Seth Jenkins,28,silver,13.72
6325,Cindy Wood,38,bronze,9.19
6326,John Bass,41,bronze,99.04
6327,Michael Alonzo,39,gold,18.369999999999997
6328,Shaun Patty,43,gold,18.79
6329,Reginald Mattern,27,bronze,8.9
6330,Mary Nava,32,bronze,19.880000000000003
6331,Ronald Henry,23,bronze,145.64
6332,Dewayne Keel,46,silver,56.92
6333,Eric Jones,36,gold,11.1
6334,John Beck,35,silver,10.3
6335,Marian Martis,37,bronze,9.78
6336,Lucille Vinson,35,silver,5.1
6337,Madeline Thornton,38,silver,31.93
6338,Gwen Gomez,45,silver,11.08
6339,Jerry Pruett,23,gold,28.16
6340,Wayne Ali,44,silver,30.82
6341,Cindy Waugh,30,silver,30.1
6342,Albert Salinas,45,bronze,11.34
6343,John Brooks,41,bronze,7.11
6344,Kathleen Clark,34,bronze,198.54
6345,Amy Belden,21,bronze,12.58
6346,May Little,42,silver,11.2
6347,Alan Washington,39,gold,13.29
6348,Ronald Parsons,39,silver,46.77
6349,Leslie Wilson,37,silver,19.48
6350,Scott Hayes,33,bronze,24.22
6351,Max Tippett,39,silver,13.95
6352,Paula Thornton,33,silver,6.73
6353,Shannon Delgadillo,41,bronze,5.89
6354,Dawn Byers,25,bronze,10.08
6355,Lisa Brucculeri,38,gold,77.18
6356,Jean Coury,30,gold,269.82
6357,Jewel Thompson,40,bronze,11.41
6358,James Watson,45,bronze,67.43
6359,Rosa Hooker,40,bronze,94.25
6360,Alicia Harrison,35,bronze,617.34
6361,Eleanor Truss,35,bronze,110.9
6362,Andrew Johnson,31,gold,18.189999999999998
6363,Joanne Cole,33,gold,88.77
6364,Robert Eddington,21,bronze,5.02
6365,Victor Blythe,28,bronze,36622.55
6366,Jack Spadoni,32,bronze,6.51
6367,Nicole Phillips,35,bronze,6.09
6368,Nancy Norman,42,bronze,15.98
6369,Donald Travers,26,bronze,17.6
6370,Melinda Jennings,42,gold,23.42
6371,Wallace Elliot,40,bronze,11.45
6372,Ruth Michels,36,bronze,5.55
6373,Angela James,44,gold,37.230000000000004
6374,Lucille Figueroa,40,gold,7.2
6375,Cynthia Sealey,39,gold,43.58
6376,Johnathan Darnell,38,gold,30.39
6377,Earnest Nisbet,37,silver,18.880000000000003
6378,Amanda Sloan,25,bronze,25.22
6379,Richard Kendall,42,bronze,79.45
6380,Mary Brown,33,gold,6.48
6381,Fred Fritz,39,bronze,6.09
6382,Kimberly Linares,42,bronze,15.98
6383,Doloris Williams,27,bronze,21.59
6384,Robert Blank,42,bronze,11.32
6385,Douglas Blackmon,36,bronze,6.14
6386,Meridith Creamer,46,bronze,43.09
6387,Deanna Diaz,44,bronze,21.11
6388,Mayra Shade,33,silver,12.15
6389,Joey Thornton,39,silver,71.4
6390,Tammy Carlow,33,bronze,48.91
6391,Joey Kissler,40,silver,39.07
6392,Mary Brown,36,bronze,10.27
6393,Lillie Thomas,43,silver,13.0
6394,David Peoples,38,bronze,17.89
6395,Nicholas Scott,39,bronze,6.33
6396,Susan Gates,33,bronze,145.59
6397,Matthew Cunningham,38,gold,11.72
6398,John Pacheco,30,silver,24.21
6399,Mable Gamble,32,bronze,10.96
6400,Phillip Cox,27,gold,25.9
6401,Wayne Mcmahon,37,bronze,8.11
6402,Mary Burgess,32,bronze,20.73
6403,John Dietlin,36,bronze,9.09
6404,Kenneth Wolford,43,silver,108.23
6405,Sonia Barnett,37,silver,27.77
6406,Kathleen Strong,42,gold,39.22
6407,Tanya Mcloughlin,36,bronze,139.88
6408,Dewayne Keim,41,silver,21.78
6409,Lawrence Hinson,42,bronze,36.8
6410,Micheal Davis,41,silver,16.509999999999998
6411,Marilyn Logan,34,silver,13.8
6412,Joyce Bosley,32,silver,14.030000000000001
6413,Juanita Wilson,32,gold,184.24
6414,Brenda Hammons,23,silver,13.04
6415,Edna Bollinger,34,bronze,3422.43
6416,Jeffrey Clark,30,silver,7.53
6417,Marcella Ortiz,27,gold,6.21
6418,Rose Triana,40,bronze,9.42
6419,Lettie Turner,45,silver,64.53
6420,Bethany Dirden,25,silver,277.59
6421,Wanda Hawkins,43,gold,111.97
6422,Tim Ferg,41,silver,22.189999999999998
6423,Tony Rautenberg,33,silver,14.58
6424,Consuelo Wood,40,bronze,12.66
6425,Eddie Keomuangtai,40,gold,67.1
6426,Rick Laskowski,24,bronze,15.31
6427,Laura Francis,23,silver,19.259999999999998
6428,Kimberly Herron,32,bronze,48.52
6429,Ralph See,42,silver,135.06
6430,Reginald Heavrin,38,gold,17.33
6431,Rodger Cruz,35,bronze,8.31
6432,Antonio Zocklein,34,bronze,10.0
6433,Mary Allen,37,silver,43.83
6434,Judy Townsend,22,bronze,16.39
6435,Steven Rebello,41,gold,21.869999999999997
6436,James Miles,42,silver,15.41
6437,Sharon Cummings,30,silver,8.23
6438,Marie Kinder,30,gold,16.28
6439,Ann Alessandroni,37,bronze,52.0
6440,John Knowles,20,gold,8.9
6441,Margery Haas,33,silver,74.17
6442,Wade Mcmunn,36,bronze,14.280000000000001
6443,Clayton Morgan,39,bronze,326.35
6444,Jennifer Avans,36,bronze,7.06
6445,Latrice Lowder,44,bronze,43.45
6446,Frank Otis,33,bronze,349.56
6447,Beulah Harvey,45,gold,89.33
6448,Edward Steed,38,bronze,46.17
6449,Paul Frantz,35,bronze,46.79
6450,Charles Johnson,43,gold,30.6
6451,Ryan Hays,42,bronze,9.18
6452,Maxine Rowton,31,silver,20.490000000000002
6453,Suzanne Mitchell,30,silver,27.87
6454,Oliver Wells,31,silver,154.8
6455,Betty Shurtliff,40,bronze,10.02
6456,Jerry Thomas,26,bronze,33.45
6457,Van Lotti,34,silver,47.83
6458,Wesley Walsh,26,bronze,51.4
6459,Katelin Marion,42,silver,25.8
6460,Annie Fraher,24,silver,14.61
6461,Carolyn Banks,44,silver,29.79
6462,Steve Badanguio,45,silver,90.39
6463,Jerry Felix,24,gold,40.769999999999996
6464,Peter Montoya,32,bronze,50.2
6465,Cameron Smith,32,bronze,10.06
6466,Steven Mitchell,24,silver,5.87
6467,Jackie Wolfe,37,gold,24.73
6468,Reita Macy,34,silver,6.0
6469,Maritza Ocegueda,40,silver,12.45
6470,Ruby Peterson,23,bronze,16.75
6471,David Stalzer,34,bronze,13.15
6472,Cynthia Burns,25,bronze,71.85
6473,Steven Fitch,38,silver,629.33
6474,Jill Lusk,36,bronze,13.2
6475,Andrea Cooper,38,silver,27.7
6476,Monica Whilden,41,silver,169.98
6477,Troy Conway,23,bronze,6.14
6478,Andrew Sims,36,bronze,10.35
6479,Arnold Gaunt,43,silver,19.759999999999998
6480,Martin Kenny,40,silver,29.23
6481,Raymond Crenshaw,24,bronze,311.81
6482,Martha Beal,44,silver,22.310000000000002
6483,Helen King,45,gold,27.1
6484,Willard Bailey,30,bronze,300.77
6485,Michael Turner,34,silver,7.98
6486,Cheryl Berry,35,silver,7.6899999999999995
6487,Steven Rodriquez,26,gold,69.22
6488,Debra Cook,35,bronze,157.18
6489,Melissa Haynes,29,bronze,10.93
6490,Morris Nakagawa,39,bronze,9.37
6491,Ashley Sheck,37,gold,34.370000000000005
6492,Nichole Sheets,33,silver,9.41
6493,Brian Minyard,40,bronze,16.22
6494,Bryon Contos,40,bronze,66.03
6495,George Todd,43,silver,18.71
6496,Betty Lyons,40,silver,12.85
6497,Willie Collica,32,bronze,1157.19
6498,Elin Rodriguez,23,silver,8.31
6499,Elizabeth Butler,30,bronze,59.36
6500,John Bueti,34,bronze,8.04
6501,Lacey Kouba,45,silver,52.45
6502,Joseph Henle,29,bronze,7.99
6503,Steve Harrell,41,silver,10.02
6504,Shyla Thomas,23,bronze,9.15
6505,Maryalice Laureano,29,bronze,11.61
6506,Sheila Schryer,19,bronze,10.29
6507,Alvin Moya,39,bronze,25.49
6508,Mary Patillo,40,gold,8.2
6509,Marilyn Johns,44,silver,17.259999999999998
6510,Constance Bowen,33,bronze,11.780000000000001
6511,Merle Smith,39,silver,17.93
6512,Coleen Jameson,34,silver,24.35
6513,Reginald Quijada,42,bronze,19.23
6514,Nellie Gardiner,39,bronze,180.22
6515,Cecilia Oliver,38,bronze,258.31
6516,Ruth Williams,25,bronze,8.79
6517,Marlene Fugate,28,bronze,15.79
